id,title,published_date,year,month,day,num_views,num_likes,length,quality,tags,num_tags
qYETShaKKUk,Cooking Fat Back Bacon Stew  #camping #campfirecooking #bushcraft,2024-05-02 05:25:29+00:00,24,5,Thursday,101806,5545,60.0,hd,"['camping', 'survival', 'bushcraft', 'survival camping', 'survival shelter', 'survival bushcraft', 'build a shelter', 'build a survival shelter', 'no tent', 'no sleeping bag', 'camping in mountains', 'campfire cooking', 'survival cooking', 'bushcraft cooking', 'camping food', 'survival food', 'camping recipes']",17
la36TvIp3Vw,My Super Lazy Mushroom ID #mushrooms #foraging #survival #plantid,2024-05-02 16:12:13+00:00,24,5,Thursday,139197,7425,28.0,hd,"['camping', 'survival', 'bushcraft', 'survival camping', 'survival shelter', 'survival bushcraft', 'build a shelter', 'build a survival shelter', 'no tent', 'no sleeping bag', 'camping in mountains', 'mushrooms', 'mushroom id', 'identifying mushrooms', 'foraging', 'wild edibles', 'foraging edible plants', 'foraging mushrooms', 'survival skills', 'poisonous mushrooms']",20
xxKaFPbOa-I,Dropped off in Alaska's Wilderness - The Train to Nowhere  #outdoors #camping,2024-07-05 04:27:27+00:00,24,7,Friday,1321732,76694,59.0,hd,"['camping', 'survival', 'winter camping', 'survival camping', 'deep snow camping', 'camping in snow', 'cold weather camping', 'camping in cold', 'survival shelter', 'bushcraft shelter', 'bushcraft camping', 'wilderness survival', 'arctic survival', 'camping in alaska', 'winter camping in ALaska', 'Alaska adventure', 'hurricane train', 'Alaska railroad', 'whistle stop train', 'cross country skiing', 'trekking', 'snowshoeing', 'snow shelter', 'quinzee', 'survival tips', 'extreme survival', 'extreme camping']",27
4OCJ0Bt66ms,"1 Week Fishing, Camping, & Hiking Adventure ( I Flew a Family of 10 to Alaska)",2024-08-03 11:00:08+00:00,24,8,Saturday,6713827,133228,2813.0,hd,"['Alaska', 'Alaska travel', 'alaska vacation', 'Travel vlog', 'family vacation', 'things to do in Alaska', 'Alaska travel tips', 'Alaska travel ides', 'Seward', 'Anchorage', 'Fishing Alaska', 'Camping Alaska', 'Hiking Alaska', 'traveling to Alaska with kids', 'big family', 'fishing', 'camping', 'hiking', 'halibut fishing', 'salmon fishing', 'fishing for halibut', 'fishing seward', 'seward fishing charter', 'Places to see in Alaska', 'places to go in Alaska', 'fishing for rock fish', 'Alaska fishing trips', 'fishing trips']",28
f_NOyQf_mzo,I Destroyed My Bushcraft Survival Shelter - It Caught Fire,2023-05-06 11:00:32+00:00,23,5,Saturday,2454263,61295,1199.0,hd,"['Winter Camping', 'Camping', 'Bushcraft', 'survival', 'Bushcraft camping', 'bushcraft shelter', 'survival shelter', 'winter camping with no tent', 'Camping with kids', 'cold weather camping', 'camping in snow', 'Alaska', 'Camping in Alaska', 'Alaska camping', 'bushcraft project', 'survival camping', 'cooking king crab', 'campfire cooking', 'bunkbeds', 'bushcraft bunkbed', 'Camping in Snow']",21
2Gs9JVWDnYE,Fishing rod baseball - how to teach kids to baseball - T-ball tips,2017-04-29 11:08:07+00:00,17,4,Saturday,421514,4081,398.0,hd,"['t-ball', 'baseball', 'fishing rod', 'fishing rod baseball', 'teach kids baseball', 'teach kids t-ball', 't-ball tips', 'teach kids how to play baseball', 'coaching tips']",9
c8fbCcMwocY,"Spearfishing, Diving & Snorkeling Entire UK - Catch & Cook Crabs, Scallops & Fish",2023-01-07 10:00:30+00:00,23,1,Saturday,2189234,31860,1123.0,hd,"['Snorkleing', 'Diving', 'Spearfishing', 'Freediving', 'Diving UK', 'Diving England', 'Diving Scotland', 'Diving Wales', 'Diving Ireland', 'Spearfishing UK', 'Spearfishing England', 'Spearfishing Wales', 'Spearfishing Ireland', 'Spearfishing wales', 'Catch and Cook', 'Spearfishing Catch and cook', 'Spearfishing polluck', 'crabbing england', 'crabbing UK', 'crabbing wales', 'Catching crabs', 'cooking crabs', 'crab catch and cook', 'fishing catch and cook', 'fishing', 'travel to UK', 'travel England']",27
NnwBa6Q2ANw,Alaska Adventure - Part 1  Traveling to Alaska and Fishing for salmon,2017-09-02 11:38:41+00:00,17,9,Saturday,1683990,16495,1439.0,hd,"['Alaska', 'Alaska adventure', 'Fishing Alaska', 'Salmon fishing', 'fishing for salmon', 'Vacation in Alaska', 'Alaska vacation', 'trip to alaska', 'Travel to Alaska', 'Traveling Alaska', 'Traveling', 'Vacation', 'trip', 'Travel VLOG', 'Fishing for salmon in Alaska', 'Salmon fishing in Alaska', 'Silver salmon', 'fishing', 'Four wheeling', 'Alaska Bagel Resturant', 'Talkeetna', 'Kashwitna']",22
YDB2qWvMQD8,"Fishing British Columbia!! Giant sturgeon, camping, and exploring (WT part 12)",2018-11-03 12:04:01+00:00,18,11,Saturday,873504,8580,1812.0,hd,"['Fishing british columbia', 'giant sturgeon', 'camping british columbia', 'explore birtish columbia', 'chilliwack lake', 'chilliwack lake provential park', 'birch bay', 'World Tour', 'Outdoor Boys World Tour', 'Sturgeon Fishing', 'Catching giant sturgeon', 'sturgeonhunter.com', 'frasier river sturgeon', 'fishing the frasier river British Columbia', 'frasier river fishing guide']",15
--9Zqij_5ww,Invasive Fish Catch & Cook - Spear Fishing Lionfish with my Kids,2021-05-15 11:00:00+00:00,21,5,Saturday,905008,18540,1359.0,hd,"['Snorkeling', 'spear fishing', 'free diving', 'lionfish', 'lion fish', 'lionfish catch and cook', 'lion fish catch clean cook', 'catch and cook', 'catch and cook fish', 'spearing lionfish', 'spearfishing florida', 'florida keys', 'islamorada snorkeling', 'snorkeling florida keys', 'snorkeling with kids', 'snorkeling charter florida keys', 'spear fishing charter florida keys', 'Forever young spear fishing', 'catching lionfish', 'lionfish recipes', 'eating lionfish', 'dangerous fish', 'poisonous fish catch and cook']",23
